county,bachelors_plus_pct,year
Apache County,16.56,2024
Cochise County,28.09,2024
Coconino County,40.34,2024
Gila County,18.73,2024
Graham County,14.58,2024
Greenlee County,20.87,2024
La Paz County,13.46,2024
Maricopa County,36.68,2024
Mohave County,15.22,2024
Navajo County,19.1,2024
Pima County,36.79,2024
Pinal County,22.47,2024
Santa Cruz County,23.14,2024
Yavapai County,30.25,2024
Yuma County,16.78,2024
