county,bachelors_plus_pct,year
Apache County,16.56434474616293,2024
Cochise County,28.094856200850987,2024
Coconino County,40.34083178375437,2024
Gila County,18.732359494924484,2024
Graham County,14.578957796710917,2024
Greenlee County,20.86601819893317,2024
La Paz County,13.458389161828196,2024
Maricopa County,36.680293780448245,2024
Mohave County,15.21983758700696,2024
Navajo County,19.1045556488119,2024
Pima County,36.794203907075115,2024
Pinal County,22.467424552614464,2024
Santa Cruz County,23.142183817753338,2024
Yavapai County,30.25407885349456,2024
Yuma County,16.77879596334532,2024
Apache County,16.56434474616293,2024
Cochise County,28.094856200850987,2024
Coconino County,40.34083178375437,2024
Gila County,18.732359494924484,2024
Graham County,14.578957796710917,2024
Greenlee County,20.86601819893317,2024
La Paz County,13.458389161828196,2024
Maricopa County,36.680293780448245,2024
Mohave County,15.21983758700696,2024
Navajo County,19.1045556488119,2024
Pima County,36.794203907075115,2024
Pinal County,22.467424552614464,2024
Santa Cruz County,23.142183817753338,2024
Yavapai County,30.25407885349456,2024
Yuma County,16.77879596334532,2024
