county,poverty_rate,year
Apache County,30.53,2024
Cochise County,15.42,2024
Coconino County,16.77,2024
Gila County,16.89,2024
Graham County,17.26,2024
Greenlee County,8.19,2024
La Paz County,17.45,2024
Maricopa County,10.98,2024
Mohave County,16.09,2024
Navajo County,24.72,2024
Pima County,14.32,2024
Pinal County,11.1,2024
Santa Cruz County,20.18,2024
Yavapai County,12.04,2024
Yuma County,15.6,2024
