county,year,labor_force,employment,unemployment,unemployment_rate,median_income,poverty_rate,bachelors_plus_pct,labor_force_participation_rate,total_population,median_age
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Mohave County,2024,87750,83875,3875,4.4,57684,16.1,15.21983758700696,7.3,220517,53.6
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Navajo County,2024,38122,36043,2079,5.5,54606,24.7,19.1045556488119,8.8,108415,39.5
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pima County,2024,493094,475481,17613,3.6,70315,14.3,36.79420390707512,5.5,1060490,39.8
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Pinal County,2024,217502,209267,8235,3.8,80266,11.1,22.467424552614464,6.0,469006,40.4
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Santa Cruz County,2024,20468,19217,1251,6.1,55217,20.2,23.142183817753335,12.2,48926,37.9
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yavapai County,2024,106706,103013,3693,3.5,69613,12.0,30.25407885349456,4.3,245480,55.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
Yuma County,2024,98720,86670,12050,12.2,62876,15.6,16.77879596334532,6.9,211741,36.1
